Sturnia sinensis
Sturnus roseus
Pastor roseus
Sturnus cineraceus
Sturnus vulgaris
Passer ammodendri
Passer domesticus
Passer hispaniolensis
Passer rutilans
Passer montanus
Petronia petronia
Carpospiza brachydactyla
Montifringilla nivalis
Pirgilada davidiana
Montifringilla davidiana
Fringilla coelebs
Fringilla coelebs
Fringilla montifringilla
Leucosticte nemoricola
Leucosticte brandti
Leucosticte arctoa
Leucosticte tephrocotis
Pinicola enucleator
Carpodacus erythrinus
Carpodacus roseus
Carpodacus rhodochlamys
Carpodacus rubicilla
Loxia pytyopsittacus
Loxia curvirostra
Loxia leucoptera
Chloris chloris
Carduelis chloris
Acanthis flammea
Carduelis flammea
Acanthis hornemanni
Carduelis hornemanni
Spinus spinus
Carduelis spinus
Carduelis carduelis
Carduelis caniceps
Chloris sinica
Carduelis sinica
Acanthis flavirostris
Carduelis flavirostris
Acanthis cannabina
Carduelis cannabina
Serinus pusillus
Serinus serinus
Pyrrhula pyrrhula
Pyrrhula griseiventris
Pyrrhula cineracea
Coccothraustes coccothraustes
Eophona migratoria
Eophona personata
Mycerobas carnipes
Rhodopechys sanguineus
Bucanetes githagineus
Bucanetes mongolicus
Uragus sibiricus
Dendroica coronata
Seiurus noveboracensis
Wilsonia pusilla
Emberiza citrinella
Emberiza citrinella
Emberiza leucocephalos
Emberiza caesia
Emberiza cirlus
Emberiza cia
Emberiza godlewskii
Emberiza cioides
Emberiza jankowskii
Emberiza buchanani
Emberiza hortulana
Emberiza fucata
Ocyris pusillus
Emberiza pusilla
Ocyris chrysophrys
Emberiza chrysophrys
Ocyris tristrami
Emberiza tristrami
Ocyris rusticus
Emberiza rustica
Ocyris spodocephalus
Emberiza spodocephala
Ocyris personatus
Emberiza personata
Ocyris sulphuratus
Emberiza sulphurata
Ocyris aureolus
Emberiza aureola
Ocyris rutilus
Emberiza rutila
Ocyris variabilis
Emberiza variabilis
Cristemberiza elegans
Emberiza elegans
Granativora melanocephala
Emberiza melanocephala
Granativora bruniceps
Emberiza bruniceps
Schoeniclus pallasi
Emberiza pallasi
Schoeniclus schoeniclus
Emberiza schoeniclus
Schoeniclus yessoensis
Emberiza yessoensis
Miliaria calandra
Emberiza calandra
Spizella arborea
Spizella passerina
Passerculus sandwichensis
Passerella iliaca
Passerina cyanea
Zonotrichia leucophrys
Zonotrichia atricapilla
Junco hyemalis
Calcarius lapponicus
Plectrophenax nivalis
Plectrophenax hyperboreus
Melospiza melodia
Euphagus carolinus
